Name,Beauhurst URL,Accelerator manager,Sponsor(s),Fund,Next application deadline,Duration,Perks provided,Status,Summary,Eligibility,Phone number,Website,LinkedIn page,Country,Local authority (if UK),Region (if UK),Street address,Postcode (if UK),Number of attendances in this accelerator,Number of fundraisings associated with this accelerator,Date of the latest attendance
Techstars London Accelerator,https://platform.beauhurst.com/acceleratormanager/739aq9/accelerator/mr8jz2/,Techstars,"Cedars-Sinai, Cooley LLP, Microsoft, SendGrid, Amazon, BASF, Silicon Valley Bank, Google for Entrepreneurs",Techstars London Accelerator,,3 months.,"Access to Alumni Network, Access to Business Network, Access to Investor Network, Access to Network of Experts, Business Advice, Corporate Resources, Financial Investment, Legal Services, Mentoring, Stipend, Technical Expertise",Green,The programme aims to develop and scale startups.,,,https://www.techstars.com/accelerators/london,https://www.linkedin.com/company/167750,United Kingdom,Hackney,London,"41 Luke Street
Hackney
London
EC2A 4DP",EC2A 4DP,107,90,2025-03-28
Tech for Good,https://platform.beauhurst.com/acceleratormanager/e96yur/accelerator/hbx4qi/,Bethnal Green Ventures,"Nominet Trust, Nesta, Big Society Capital, Resolution Trust",Bethnal Green Ventures,,6 weeks.,"Access to Alumni Network, Access to Business Network, Access to Investor Network, Access to Network of Experts, Financial Investment, Financial Planning, Mentoring, Office Space, Product Development, Workshops",Green,The programme supports teams developing technology businesses that tackle social and environmental issues.,"Applicant companies must: Have the potential to reach £100m enterprise value within 8 - 10 years Develop innovative applications for technology. Intend to use their products and services for a positive social or environmental impact  Reduce inequality, focusing on those that are underserved and underrepresented.  Be incorporated in the UK but with global ambitions and have the right to work in the UK. Be at an early stage, usually with at least a prototype or MVP. Must be a company limited by shares.",02036 700550,https://bethnalgreenventures.com/apply/,,United Kingdom,City of London,London,"27-29 Cursitor Street
London
EC4A 1LT",EC4A 1LT,185,162,2026-04-21
Barclays Accelerator - London,https://platform.beauhurst.com/acceleratormanager/739aq9/accelerator/fv3mez/,Techstars,Barclays,Barclays Accelerator London,,13 weeks.,"Access to Alumni Network, Access to Investor Network, Corporate Resources, Financial Investment, Mentoring, Office Space, Technical Expertise",Green,The programme seeks to support the development of FinTech companies.,,,https://home.barclays/who-we-are/innovation/barclays-accelerator/locations/london/,,United Kingdom,Hackney,London,"41 Luke Street
Shoreditch
London",EC2A 4LB,42,37,2020-01-23
Pi Labs,https://platform.beauhurst.com/acceleratormanager/vj8yvv/accelerator/cyhqg8/,Pi Labs,,Pi Labs,,15 weeks.,"Access to Business Network, Access to Investor Network, Access to Network of Experts, Brand Development, Financial Investment, Investment Assistance, Legal Services, Marketing support, Mentoring, Office Space, Technical Expertise, Workshops",Green,The programme aims to support PropTech start-ups. ,Applicant companies must be developing PropTech.,,https://www.pilabs.co.uk/accelerator,https://www.linkedin.com/company/5340739,United Kingdom,Westminster,London,"151 Wardour Street
Soho
London",W1F 8WE,43,6,2024-03-13
Wayra London,https://platform.beauhurst.com/acceleratormanager/9yk4am/accelerator/pzh4sb/,Wayra UK,Telefonica,Wayra UK,,9 months,"Access to Business Network, Access to Customer Network, Access to Investor Network, Access to Network of Experts, Business Advice, Co-working Space, Financial Investment, Mentoring, Office Space, Workshops",Green,"The programme develops businesses from any sector with solutions relevant to Telefónica and O2, with a focus on ideas incorporating IoT, 5G, data democratisation or customer experience improvement.",Startups must have a minimum viable product.,,https://www.wayra.uk/programs/wayra-call,https://www.linkedin.com/company/17952355,United Kingdom,Westminster,London,"20 Air Street
London
W1B 5AN",W1B 5AN,89,8,2020-02-29
Entrepreneur First,https://platform.beauhurst.com/acceleratormanager/uc3zhf/accelerator/ay7wmx/,Entrepreneur First,"Vitruvian Partners, AWS Activate",Entrepreneurs First,,3 months.,"Access to Finance, Access to Investor Network, Co-founder Matching, Co-working Space, Financial Investment, Investment Assistance, Invitation to Exclusive Events, Mentoring, Product Development, Stipend",Green,The programme focusses on putting potential entrepreneurs together with the goal of them starting a venture. ,,,https://www.joinef.com/,https://www.linkedin.com/company/2340783,United Kingdom,Southwark,London,"Entrepreneur First
Block M, The Biscuit Factory
Clements Road
London",SE16 4DG,258,158,2024-01-17
Pre-Accelerate,https://platform.beauhurst.com/acceleratormanager/4vddpz/accelerator/y8nx2j/,Accelerate Cambridge,,Accelerate Cambridge,,3 months.,"Business Education, Co-working Space, Mentoring, Office Space",Green,"The programme is for very early-stage businesses, focusing on product and IP development.","Applications must be submitted by teams of two or more people. At least one founder must be a student, alumni, faculty or staff of the University of Cambridge, or be Cambridge resident.",01223 339 700,https://www.jbs.cam.ac.uk/entrepreneurship/programmes/accelerate-cambridge/programmes/,,United Kingdom,Cambridge,East of England,"Cambridge Judge Business School
University of Cambridge
Trumpington Street
Cambridge
CB2 1AG",CB2 1AG,4,,2022-09-22
Accelerate,https://platform.beauhurst.com/acceleratormanager/4vddpz/accelerator/jb92fs/,Accelerate Cambridge,,Accelerate Cambridge,,3 months.,"Business Education, Co-working Space, Mentoring, Office Space",Green,The programme focuses on helping businesses develop products and distribute them.,"Applications must be submitted by teams of two or more people. At least one founder must be a student, alumni, faculty or staff of the University of Cambridge, or be Cambridge resident.",01223 339 700,https://www.jbs.cam.ac.uk/entrepreneurship/programmes/accelerate-cambridge/programmes/,,United Kingdom,Cambridge,East of England,"Cambridge Judge Business School
University of Cambridge
Trumpington Street
Cambridge",CB2 1AG,149,,2024-09-24
Accelerate Plus,https://platform.beauhurst.com/acceleratormanager/4vddpz/accelerator/3kfh7g/,Accelerate Cambridge,,Accelerate Cambridge,,3 months.,"Business Education, Co-working Space, Mentoring, Office Space",Green,The programme focuses on helping businesses to take products to market and fundraising.,"Applications must be submitted by teams of two or more people. At least one founder must be a student, alumni, faculty or staff of the University of Cambridge, or be Cambridge resident.",01223 339 700,https://www.jbs.cam.ac.uk/entrepreneurship/programmes/accelerate-cambridge/programmes/,,United Kingdom,Cambridge,East of England,"Cambridge Judge Business School
University of Cambridge
Trumpington Street
Cambridge",CB2 1AG,17,,2024-09-09
The Young Academy,https://platform.beauhurst.com/acceleratormanager/r8yf42/accelerator/p3tyg7/,Young Foundation,"BofA Securities, UBS",The Young Academy,,3 (stage 1) or 6 months (stage 1 and 2),"Access to Customer Network, Access to Investor Network, Business Advice, Financial Investment, Invitation to Exclusive Events, Mentoring, Workshops",Green,The programme is interested in enterprises that are developing new approaches for education.,Applicants must be early-stage education companies which focus on employability. This work can be targeted at any age group from early year's education through to post-16.,020 8980 6263,http://www.theyoungacademy.org/accelerator/,https://www.linkedin.com/company/86844,United Kingdom,Tower Hamlets,London,"18 Victoria Park Square
London",E2 9PF,16,,2017-09-01
Hangar 51,https://platform.beauhurst.com/acceleratormanager/5q5dxk/accelerator/89uxkk/,L Marks,IAG,Hangar 51,,10 weeks.,"Access to Business Network, Access to Network of Experts, Corporate Resources, Financial Investment, Investment Assistance, Mentoring, Product Development, Technical Expertise",Green,The programme's interest is in developing technology businesses in the travel industry. ,Applicants should be early stage startups with at least a proof of concept that can be deployed and tested.,,https://hangar51.com/,https://www.linkedin.com/company/11681516,United Kingdom,Hillingdon,London,"International Airlines Group
Waterside (HAA2)
Harmondsworth",UB7 0GB,13,2,2019-09-30
